activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,O=C(NO)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL233077,nM,19952.62,,-4.7,Neuraminidase
,O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL393369,nM,19810.0,uM,19.81,Neuraminidase
,O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL393369,nM,48977.88,,-4.31,Neuraminidase
,CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232871,nM,1560.0,uM,1.56,Neuraminidase
,CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232871,nM,4365.16,,-5.36,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL393325,nM,2100.0,uM,2.1,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL393325,nM,5888.44,,-5.23,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232469,nM,2710.0,uM,2.71,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232469,nM,7943.28,,-5.1,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL232265,nM,2150.0,uM,2.15,Neuraminidase
,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL232265,nM,6025.6,,-5.22,Neuraminidase
,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL232058,nM,12620.0,uM,12.62,Neuraminidase
,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL232058,nM,40738.03,,-4.39,Neuraminidase
,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232057,nM,15820.0,uM,15.82,Neuraminidase
,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL232057,nM,53703.18,,-4.27,Neuraminidase
,COC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,CHEMBL413293,nM,83690.0,uM,83.69,Neuraminidase
,COC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,CHEMBL413293,nM,269153.48,,-3.57,Neuraminidase
,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,CHEMBL397409,nM,90790.0,uM,90.79,Neuraminidase
,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,CHEMBL397409,nM,288403.15,,-3.54,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL233315,nM,4290.0,uM,4.29,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL233315,nM,13182.57,,-4.88,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL233115,nM,6090.0,uM,6.09,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL233115,nM,17782.79,,-4.75,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL233114,nM,4630.0,uM,4.63,Neuraminidase
,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL233114,nM,14125.38,,-4.85,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL392773,nM,2400.0,uM,2.4,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,CHEMBL392773,nM,6456.54,,-5.19,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL233113,nM,4270.0,uM,4.27,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL233113,nM,10964.78,,-4.96,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL392772,nM,2850.0,uM,2.85,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL392772,nM,7585.78,,-5.12,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL232907,nM,6130.0,uM,6.13,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL232907,nM,17378.01,,-4.76,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL393786,nM,3870.0,uM,3.87,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,CHEMBL393786,nM,10964.78,,-4.96,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL232906,nM,11510.0,uM,11.51,Neuraminidase
,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,CHEMBL232906,nM,33884.42,,-4.47,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL393917,nM,4170.0,uM,4.17,Neuraminidase
,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,CHEMBL393917,nM,10715.19,,-4.97,Neuraminidase
,COC(=O)c1ccc(NC(C)=O)cc1O,CHEMBL458768,nM,990.0,uM,0.99,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,21.0,uM,0.021,Neuraminidase
,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,CHEMBL495455,nM,590.0,uM,0.59,Neuraminidase
,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,CHEMBL495448,nM,1540.0,uM,1.54,Neuraminidase
,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)ccc1C(=O)OC,CHEMBL494431,nM,2690.0,uM,2.69,Neuraminidase
,CC(=O)Nc1cc(OCCC(C)C)c(C(=O)O)cc1NC(=N)N,CHEMBL503267,nM,41.0,uM,0.041,Neuraminidase
,COC(=O)c1cc(N)c(NC(C)=O)cc1OCCC(C)C,CHEMBL494417,nM,970.0,uM,0.97,Neuraminidase
,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OCCC(C)C,CHEMBL495228,nM,2960.0,uM,2.96,Neuraminidase
,COC(=O)c1ccc(NC(C)=O)cc1OCCC(C)C,CHEMBL495108,nM,3810.0,uM,3.81,Neuraminidase
,COC(=O)c1cc(N)c(NC(C)=O)cc1OC1CCCC1,CHEMBL503657,nM,38.0,uM,0.038,Neuraminidase
,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OC1CCCC1,CHEMBL495227,nM,330.0,uM,0.33,Neuraminidase
,COC(=O)c1ccc(NC(C)=O)cc1OC1CCCC1,CHEMBL495226,nM,490.0,uM,0.49,Neuraminidase
,CCCCOc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)O,CHEMBL494380,nM,40.0,uM,0.04,Neuraminidase
,CCCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,CHEMBL494199,nM,70.0,uM,0.07,Neuraminidase
,CCCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,CHEMBL494610,nM,140.0,uM,0.14,Neuraminidase
,CCCCOc1cc(NC(C)=O)ccc1C(=O)OC,CHEMBL504247,nM,230.0,uM,0.23,Neuraminidase
,CCC(C)Oc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)OC,CHEMBL494609,nM,740.0,uM,0.74,Neuraminidase
,CCC(C)Oc1cc(NC(C)=O)c(N)cc1C(=O)OC,CHEMBL507909,nM,950.0,uM,0.95,Neuraminidase
,CCC(C)Oc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,CHEMBL523378,nM,1590.0,uM,1.59,Neuraminidase
,CCC(C)Oc1cc(NC(C)=O)ccc1C(=O)OC,CHEMBL494608,nM,2970.0,uM,2.97,Neuraminidase
,CCCOc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)O,CHEMBL495434,nM,720.0,uM,0.72,Neuraminidase
,CCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,CHEMBL495433,nM,1260.0,uM,1.26,Neuraminidase
,CCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,CHEMBL452457,nM,3570.0,uM,3.57,Neuraminidase
,CCCOc1cc(NC(C)=O)ccc1C(=O)OC,CHEMBL489264,nM,9260.0,uM,9.26,Neuraminidase
,CC(=O)Nc1cc(OC(C)C)c(C(=O)O)cc1NC(=N)N,CHEMBL501838,nM,49.0,uM,0.049,Neuraminidase
,COC(=O)c1cc(NC(=N)N)c(NC(C)=O)cc1OC(C)C,CHEMBL506288,nM,120.0,uM,0.12,Neuraminidase
,COC(=O)c1cc(N)c(NC(C)=O)cc1OC(C)C,CHEMBL443726,nM,230.0,uM,0.23,Neuraminidase
,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OC(C)C,CHEMBL494557,nM,570.0,uM,0.57,Neuraminidase
,COC(=O)c1ccc(NC(C)=O)cc1OC(C)C,CHEMBL494556,nM,5320.0,uM,5.32,Neuraminidase
,CCOc1c(C(=O)O)cc(NC(=N)N)c(NC(C)=O)c1NC(=N)N,CHEMBL494389,nM,32.0,uM,0.032,Neuraminidase
,CCOc1c(C(=O)OC)cc(NC(=N)N)c(NC(C)=O)c1NC(=N)N,CHEMBL493376,nM,36.0,uM,0.036,Neuraminidase
,CCOc1c(C(=O)OC)cc(N)c(NC(C)=O)c1N,CHEMBL493351,nM,310.0,uM,0.31,Neuraminidase
,CCOc1c(C(=O)OC)cc([N+](=O)[O-])c(NC(C)=O)c1[N+](=O)[O-],CHEMBL493212,nM,2150.0,uM,2.15,Neuraminidase
,CCOc1cc(NC(C)=O)ccc1C(=O)OC,CHEMBL458769,nM,220.0,uM,0.22,Neuraminidase
,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,CHEMBL55440,nM,10000.0,uM,10.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1O,CHEMBL96712,nM,8600030668.89,,-0.9345,Neuraminidase
,CCN(CC)C(=O)N1C[C@@H](C(=O)O)[C@@H](N)[C@@H]1CNC(=O)C(F)(F)F,CHEMBL459839,nM,199986186.96,,0.699,Neuraminidase
,CC(C)N(CCc1ccccn1)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459838,nM,1299870237.39,,-0.1139,Neuraminidase
,CC(C)N(CCCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459837,nM,1299870237.39,,-0.1139,Neuraminidase
,CC(C)N(CCCCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL511178,nM,1999861869.63,,-0.301,Neuraminidase
,CC(C)N(CCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL460871,nM,2099906703.76,,-0.3222,Neuraminidase
,CC(C)(C)OC(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL18902,nM,50003453497.7,,-1.699,Neuraminidase
,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,CHEMBL139367,nM,10000.0,,5.0,Neuraminidase
,CC(=O)NC[C@H]1C[C@@H](C(=O)O)C[C@@H]1NC(=N)N,CHEMBL118070,nM,100000000.0,,1.0,Neuraminidase
,CC(=O)N[C@H]([C@H](O)[C@H](O)CO)[C@H]1OC(O)(C(=O)O)C[C@@H]1O,CHEMBL460252,nM,115000571869.92,,-2.0607,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)OP(=O)(O)C[C@@H]1O,CHEMBL460251,nM,40003685104.61,,-1.6021,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)O[C@](O)(P(=O)(O)O)C[C@@H]1O,CHEMBL513445,nM,60006735386.41,,-1.7782,Neuraminidase
,O=P(O)(O)[C@]1(O)C[C@H](O)[C@@H](O)[C@H]([C@@H](O)[C@@H](O)CO)O1,CHEMBL507302,nM,199986186963.27,,-2.301,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,500034.53,,3.301,Neuraminidase
,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL311059,nM,500034.53,,3.301,Neuraminidase
,CC[C@@H](Cc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL460452,nM,299985.32,,3.5229,Neuraminidase
,C=C[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL513444,nM,1000000.0,,3.0,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,800018.44,,3.0969,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,1000000.0,,3.0,Neuraminidase
,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309192,nM,10000000.0,,2.0,Neuraminidase
,CC(=O)N[C@H]1[C@H](O)C=C(C(=O)O)C[C@@H]1N,CHEMBL81159,nM,6299411805.49,,-0.7993,Neuraminidase
,CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,CHEMBL307189,nM,47995.44,,4.3188,Neuraminidase
,N=C(N)Nc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,CHEMBL308497,nM,4996892.43,,2.3013,Neuraminidase
,N=C(N)Nc1cc(/C=N/O)cc(C(=O)O)c1,CHEMBL334352,nM,500034534976.98,,-2.699,Neuraminidase
,NC(N)=Nc1cc(N=C(N)N)cc(C(=O)O)c1,CHEMBL132225,nM,1500030190455.95,,-3.1761,Neuraminidase
,CS(=O)(=O)Cc1ccc(C(=O)O)cc1NC(=N)N,CHEMBL131196,nM,139990962656.83,,-2.1461,Neuraminidase
,CS(=O)(=O)c1ccc(C(=O)O)cc1NC(=N)N,CHEMBL461287,nM,8999119108.7,,-0.9542,Neuraminidase
,CNC(=O)c1ccc(C(=O)O)cc1NC(=N)N,CHEMBL336080,nM,5000345349.77,,-0.699,Neuraminidase
,CS(=O)(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,CHEMBL128311,nM,100000000000.0,,-2.0,Neuraminidase
,CC(=O)Nc1ccc(C(=O)O)cc1/C=N/O,CHEMBL132451,nM,5500472528676.35,,-3.7404,Neuraminidase
,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,CHEMBL55440,nM,2499769702.18,,-0.3979,Neuraminidase
,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],CHEMBL324455,nM,750066898736.07,,-2.8751,Neuraminidase
,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL433269,nM,1999861.87,,2.699,Neuraminidase
,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL300461,nM,4000368.51,,2.3979,Neuraminidase
,CCN(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL98262,nM,1000000.0,,3.0,Neuraminidase
,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1C(=O)N(C)C,CHEMBL100991,nM,23933157.56,,1.621,Neuraminidase
,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL54149,nM,500034534.98,,0.301,Neuraminidase
,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL54149,nM,19998618696.33,,-1.301,Neuraminidase
,CCCCN(CCCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,CHEMBL419710,nM,449987033.87,,0.3468,Neuraminidase
,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,CHEMBL295490,nM,12000518.2,,1.9208,Neuraminidase
,CCN(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,CHEMBL317645,nM,2999853.18,,2.5229,Neuraminidase
,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1C(=O)N(C)C,CHEMBL100677,nM,2399937876.81,,-0.3802,Neuraminidase
,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,CHEMBL51451,nM,19006405908.65,,-1.2789,Neuraminidase
,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,CHEMBL50254,nM,180011396.04,,0.7447,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,5000345.35,,2.301,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N,CHEMBL52270,nM,319963176.73,,0.4949,Neuraminidase
,CCOc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,CHEMBL200663,nM,1650.0,uM,1.65,Neuraminidase
,CCOc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,CHEMBL200663,nM,1659.59,,5.78,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)COc2ccc(Cl)cc2Cl)n1,CHEMBL465521,nM,1890.0,uM,1.89,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)COc2ccc(Cl)cc2Cl)n1,CHEMBL465521,nM,1905.46,,5.72,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,CHEMBL499951,nM,5100.0,uM,5.1,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,CHEMBL499951,nM,5128.61,,5.29,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,CHEMBL465692,nM,1360.0,uM,1.36,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,CHEMBL465692,nM,1348.96,,5.87,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,CHEMBL515689,nM,580.0,uM,0.58,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,CHEMBL515689,nM,575.44,,6.24,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,CHEMBL457289,nM,970.0,uM,0.97,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,CHEMBL457289,nM,977.24,,6.01,Neuraminidase
,CC(C)C(C(=O)NC(=S)Nc1nc(Cl)cc(Cl)n1)c1ccc(Cl)cc1,CHEMBL457088,nM,20000.0,uM,20.0,Neuraminidase
,CCOc1cc(OCC)nc(NC(=S)NC(=O)C(c2ccc(Cl)cc2)C(C)C)n1,CHEMBL517961,nM,310.0,uM,0.31,Neuraminidase
,CCOc1cc(OCC)nc(NC(=S)NC(=O)C(c2ccc(Cl)cc2)C(C)C)n1,CHEMBL517961,nM,309.03,,6.51,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2ccccc2)n1,CHEMBL465909,nM,2100.0,uM,2.1,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2ccccc2)n1,CHEMBL465909,nM,2089.3,,5.68,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)c2cnc(Cl)c(Cl)c2)n1,CHEMBL370161,nM,18500.0,uM,18.5,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)c2cnc(Cl)c(Cl)c2)n1,CHEMBL370161,nM,18620.87,,4.73,Neuraminidase
,COc1cc(OC)nc(NC(=S)NC(=O)c2cccnc2)n1,CHEMBL200035,nM,20000.0,uM,20.0,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL200090,nM,2590.0,uM,2.59,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL200090,nM,2570.4,,5.59,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL202274,nM,7190.0,uM,7.19,Neuraminidase
,Cc1cc(C)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL202274,nM,7244.36,,5.14,Neuraminidase
,CCOc1cc(Cl)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL382282,nM,20000.0,uM,20.0,Neuraminidase
,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,CHEMBL199854,nM,20000.0,uM,20.0,Neuraminidase
,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,CHEMBL371265,nM,20000.0,uM,20.0,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,CHEMBL197813,nM,20000.0,uM,20.0,Neuraminidase
,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,CHEMBL198130,nM,20000.0,uM,20.0,Neuraminidase
,Cc1cc(O)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,CHEMBL200124,nM,8580.0,uM,8.58,Neuraminidase
,Cc1cc(O)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,CHEMBL200124,nM,8511.38,,5.07,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,CHEMBL383574,nM,1290.0,uM,1.29,Neuraminidase
,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,CHEMBL383574,nM,1288.25,,5.89,Neuraminidase
,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,CHEMBL199686,nM,1220.0,uM,1.22,Neuraminidase
,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,CHEMBL199686,nM,1230.27,,5.91,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@H]1[C@H](C=C(Cl)Cl)C1(C)C,CHEMBL451301,nM,260.0,uM,0.26,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@H]1[C@H](C=C(Cl)Cl)C1(C)C,CHEMBL451301,nM,257.04,,6.59,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@@H]1[C@H](/C=C(\Cl)C(F)(F)F)C1(C)C,CHEMBL459250,nM,510.0,uM,0.51,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@@H]1[C@H](/C=C(\Cl)C(F)(F)F)C1(C)C,CHEMBL459250,nM,512.86,,6.29,Neuraminidase
,CC(C)[C@H](C(=O)NC(=S)NC(=O)NC(C)(C)C)c1ccc(Cl)cc1,CHEMBL200175,nM,1350.0,uM,1.35,Neuraminidase
,CC(C)[C@H](C(=O)NC(=S)NC(=O)NC(C)(C)C)c1ccc(Cl)cc1,CHEMBL200175,nM,1348.96,,5.87,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1c(F)cccc1F,CHEMBL198027,nM,1430.0,uM,1.43,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1c(F)cccc1F,CHEMBL198027,nM,1445.44,,5.84,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)COc1ccc(Cl)cc1Cl,CHEMBL200754,nM,1670.0,uM,1.67,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)COc1ccc(Cl)cc1Cl,CHEMBL200754,nM,1659.59,,5.78,Neuraminidase
,COC(=O)NC(=S)NC(=O)NC(C)(C)C,CHEMBL372605,nM,1830.0,uM,1.83,Neuraminidase
,COC(=O)NC(=S)NC(=O)NC(C)(C)C,CHEMBL372605,nM,1819.7,,5.74,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccccc1,CHEMBL199628,nM,1790.0,uM,1.79,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccccc1,CHEMBL199628,nM,1778.28,,5.75,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,CHEMBL199890,nM,1300.0,uM,1.3,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,CHEMBL199890,nM,1288.25,,5.89,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccccc2Cl)o1,CHEMBL369955,nM,1420.0,uM,1.42,Neuraminidase
,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccccc2Cl)o1,CHEMBL369955,nM,1412.54,,5.85,Neuraminidase
